,sentence,entities
91,"The Andean grassland zone found above 2 000 m elevation at latitude 30 ° S is characterized by floristic elements of Patagonian affinity such as Azorella, Artemisia, Gutierrezia, herbaceous taxa of the families Caryophyllaceae, Umbelliferae, and Ranunculaceae, besides the Gramineae .","(30 ° S, Artemisia)"
92,"This rockshelter is about 20 m above the Atuel river, in the Rinc6n del Atuel, about 15 km south of the town of San Rafael (lat 34 ° 45 'S, long 68 ° 22 ` W, 670 m elevation ; Text-Figure 8, site 6) .","(San Rafael, 68 ° 22 `)"
93,"Summary pollen diagrams of major plant taxa from arid latitudes 32 ° to 34 ° S, Mendoza Province .","(34 ° S, Mendoza,)"
94,The climatic interpretation of this shift according to D'Antoni (1980) is from a Patagonian-type grassland with winter rains and temperatures below 9 ° Cannually to a desert scrub with summer rains and temperatures of 15 ° C annually .,"(9 ° Cannually, 15 ° C)"
96,"This site is a peat mound at the edge of a playa in the upper Uspallata valley about 100 km northwest of the town of Mendoza (lat 32 ° 15 'S, long 69 ° 20 ` W, 2 000 m elevation, Text-Figure 8, site 7) .","(Mendoza, 69 ° 20 `)"
97,"This record is a 280-cm long peat section from an arroyo cut near the head waters of the Rio Salado, about 20 km west of the resort of Los Molles (lat 35 ° 10 'S, long 70 ° 15 ` W, 2 400 m elevation ; Text-Figure 8, site 8) .","(Los Molles, 35 ° 10 'S,, 70 °)"
99,"64 PALYNOLOGY, VOLUME 71983 TABLE 3 ARID LATITUDES 32 ° TO 34 ° S, MENDOZA PROVINCE YR B.P. GRUTA DEL INDIO (D'ANTONI, 1980) 0 decrease in woody flora : 1 000 human impact Monte vegetation : summer annuals ; 2 000 increased summer-rain 350 mm P / 15 ° C T 3 000 Monte vegetation, gallery forest ; 4 000 increased river run-off under locally arid conditions as before 5 000 6 000 Monte vegetation, geophytes, no summer-rain annuals ; 7 000 very little summer-rain (and total precipitation35O mm P) 8 000 SALINA 2 SALADO Gramineae, Andean Andean vegetation, Gramineae and Transition zone and Transition zone vegetation vegetation co-dominate co-dominate ; low water-level in playa low water run-off from 2 500 yr B.P. on 100 mm P / 9 ° C T 700 mm P / 8 ° C Gramineae dominant ; Andean, Transition and Monte veget .","(34 ° S,, Andean, Monte)"
100,"The most significant paleoclimatic change is from lateglacial to postglacial-type conditions, which is recorded at 12 000 yr B.P. at latitudes Paleoclimatic changes in Argentina 65 34 ° and 41 ° S, but only at 8 500 yr B.P. at latitudes 51 ° to 54 ° S. For the other postglacial changes, the climatic signal is not the same for the different latitudes, which is expected when attempting large scale paleoclimatic comparison (Bryson, 1974 ; Pittock et al1978) .","(Argentina, 41 ° S)"
101,"dombeyi forest P < 1 000 mm Monte desert scrub summer rain P 350 mm, T 15 ° C LSA negative Tpi negative rainforest warmer-drier subandean forest cooler-wetter mixed Noth .","(15 ° C,)"
102,"dombeyi forest P 1 200 mm, T 8 ° C Monte desert scrub summer rain annuals P > 350 mm, T 15 ° C LSA negative TPI negative rainforest cool-wet steppe/Nothofagus forest transition P - 5 0 0 mm mixed Monte desert scrub / Patagonian grassland winter rain : P < 5 0 035O mm, T 8 ° C LSA positive Tn negative Argentina is correlated with below-normal precipitation over central Chile and eastern Patagonia .","(8 °, 15 °, Monte, Argentina, Chile, Patagonia)"
104,"At all latitudes, the glacial-type climatic patterns are characterized by temperatures lower than present, and precipitation lower than present at latitudes 51 ° to 54 ° S and 41 ° S, but higher than present at latitude 34 ° S. Similar distribution of temperature and precipitation patterns is found when on one hand, the subtropical high pressure cell is positioned at higher, more poleward latitudes (LSA positive ; TextFigure 12a, right side -)and on the other hand, the circumpolar vortex is displaced towards Australia (TPI negative ; Text-Figure 13a, right side) .","(54 ° S, Australia)"
105,"In this model the southern westerlies were supposedly weaker and more meridional, resulting in 50 % less precipitation between latitudes 40 ° and 50 ° S, which agrees with our data .","(50 ° S,)"
106,"The model also predicted increased winter precipitation over the tropical sector of South America (lat 15 ° N to 25 ° S -)and a poleward shift of the subtropical high pressure, both of which agree with our data .","(South America, 25 ° S)"
107,"Glacial-type patterns were succeeded by postglacial-type patterns at 12 000 yr B.P. at lat 34 ° and 41 ° S, but continued until 8 500 yr B.P. at the high southern latitudes .","(41 ° S,)"
108,"The succeeding climatic change at 8 500 yr B.P. that brought postglacial type conditions also to the high southern latitudes (with modern precipitation and temperatures) simultaneously brought only minor climatic changes to the mid - and low latitudes, i.e. more continental climate with colder winters and drier summers to lat 41 ° S, and decrease in summer rains to lat 34 ° S .","(41 ° S,)"
109,"Evidence for a mid-postglacial phase between 6 000 and 5 000 yr B.P. is recorded only at the high southern latitudes, where precipitation decreased substantially, while latitudes 41 ° S and 34 ° S continued as before .","(41 ° S,)"
110,"At lat 31 ° to 34 ° S this change involved a shift from winter rain to summer rain pattern, the mid latitudes, turned more equable, and the high southern latitudes, at least in the eastern lowlands became arid .","(34 ° S,)"
111,"FLINT, R. F. 1969 Glacial drift in the eastern Argentina Andes between latitude 40 ° 10 ' and 43 ° 10 'S .","(Argentina Andes, 40 ° 10 ' and, 43 ° 10 'S)"
113,"MARKGRAF, V. 1980a New data on the late - and postglacial vegetational his - 70 PALYNOLOGY, VOLUME 71983 tory of La Misión, Tierra del Fuego, Argentina .","(La Misión, Argentina)"
114,"50 ° 46 ` N, long .","(50 °,)"
115,"114 ° 36 ` W, and approximately 1480m elevation (Fig.l) .","(114 °,)"
116,"In contrast, July and January mean daily temperatures at Kananaskis, located in the Rocky Mountains approximately 50 km to the northwest of To - 157 ~ i British g ~ t, C ° lumbia Alberta Vancy40 ' 35 ' 30 ' 25 ' LI -(_ -LSB- 1 .","(Kananaskis, the Rocky Mountains, Alberta, 35 ' 30 ' 25 ')"
117,"45 ' boggan Lake, range from 14 ° C to -10 ° C respectively .","(45 ' boggan, 14 ° C)"
119,"A High-Resolution Chronology of Rapid Forest Transitions following Polynesian Arrival in New Zealand David B. McWethy1Janet M. Wilmshurst2  4, Cathy Whitlock1  3, Jamie R. Wood2, Matt S. McGlone2 1 Department of Earth Sciences, Montana State University, Bozeman, Montana, United States of America, 2 Landcare Research, Lincoln, New Zealand, 3 Institute on Ecosystems, Montana State University, Bozeman, Montana, United States of America, 4 School of Environment, University of Auckland, Auckland, New Zealand Abstract Human-caused forest transitions are documented worldwide, especially during periods when land use by dense agriculturally-based populations intensified .","(New Zealand, Montana State University, Bozeman, Montana, United States of America, Lincoln, New Zealand, Bozeman, Montana, United States of America, 4 School of Environment, University of Auckland,, Auckland,)"
120,and accounted for 97 % at c. 1694 yr AD (back to predeforestation levels) .,"(97 % at c. 1694,)"
121,ARTICLE IN PRESS J.R.M. Allen et alQuaternary Science Reviews 26 (2007) 14321453 Greenland Greenland Current b0 50km Greenland Sea a20 ° E 40 ° E Barents Sea 71 ° N Sværholthalvøya Nordkapp Magerøya Porsangerhalvøya Börselv 25 ° E tundra birch woodland Younger Dryas ice limit Barents Sea Nordkinnhalvøya Hopseidet East 0 Norwegian Sea Iceland Stjernevatnet 20 ° W Varangerhalvøya Vardø Bergebyvatnet Domsvatnet 42 Bruvatnet Østervatnet Norwegian Current Finnmark 70 ° N 100m 43 cool warm 60 ° N 0 500 km 44 100m 83 c Skaidejävri pine forests 70 ° N 30 ° E Over Gunnarsfjorden 100m 200m 82 Gunnarsfjorden Over Gunnarsfjorden 81 0 500 m Road 44 Local Grid Previously studied lakes Lake 1433 Fig. 1 .,"(Greenland Sea, 40 ° E, Barents Sea, Barents Sea)"
122,"Group 3 elements have generally relatively low abundances throughout the Holocene ; to the extent that they show any multi-millennial pattern, their values ARTICLE IN PRESS J.R.M. Allen et alQuaternary Science Reviews 26 (2007) 14321453 1443 0 4 1000 2000 Age (calibrated14 C yr B.P.) 3000 4000 5000 6000 7000 8000 9000 3 a 2 b 1 0 -1 -2 -3 0 Group 1 Group 2 Group 3 Uranium Yttrium Terbium Scandium Copper Caesium 50 Lanthanum Dysprosium Titanium Zinc Barium 100 Depth (cm) 150 Praseodymium Holmium Vanadium Gallium Cerium Neodymium Erbium Chromium Rubidium Hafnium 200 250 Samarium Thulium Manganese Strontium Tantalum Tephra shards Europium Gadolinium Ytterbium Cobalt Zirconium Lead Lutetium Nickel Niobium Thorium Fig. 6 .","(Group 1 Group 2 Group,)"
123,Table 4 Element groups with similar stratigraphic abundance patterns Group 1 Group 2 Group 3 238U Uranium 89Y 139La 141Pr 143Nd 147Sm 149Sm 151Eu 153Eu 157Gd 159Tb 161Dy 163Dy 165Ho 166Er 167Er 169Tm 172Yb 174Yb 175Lu Yttrium Lanthanum Praseodymium Neodymium Samarium Europium Gadolinium Terbium Dysprosium Holmium Erbium Thulium Ytterbium Lutetium 45Sc 49Ti 51V 52Cr 53Cr 55Mn 59Co 60Ni 63Cu 66Zn 71Ga 85Rb 88Sr 90Zr 93Nb 133Cs 137Ba 140Ce 177Hf 178Hf 181Ta 206Pb 207Pb 208Pb 232Th Scandium Titanium Vanadium Chromium Manganese Cobalt Nickel Copper Zinc Gallium Rubidium Strontium Zirconium Niobium Caesium Barium Cerium Hafnium Tantalum Lead Thorium Isotopes of each element measured are listed .,"(1 Group 2 Group,)"
124,Table 5 Periodicities identiﬁed by spectral analyses Time series Periodicities Pinus : Betula ratio 1639 Group 1 (238U) ﬁltered 1809 1064 361 296 377 348 Group 2 1808 787 411 279 188 Group 3 1645 1064 312 Periodicities listed are those that exceed the 95 % level ; italic values indicate those that exceed the critical level of E99,"(1639 Group 1 (,)"
125,"Thus, whereas elements derived from superﬁcial deposits and negatively correlated in abundance with Pinus : Betula ratio exhibit similar periodic behaviour to the latter, both having a periodicity of ca 1650 yr, at least at the 95 % level, elements derived from bedrock do not show this periodicity, instead exhibiting a periodicity of ca ARTICLE IN PRESS 1450 J.R.M. Allen et alQuaternary Science Reviews 26 (2007) 14321453 Pinus : Betula ratio residuals 00 20 40 1000 60 2000 80 3000 100 4000 120 5000 140 6000 Element group residuals NEAP 15K Sortable silt mean size (m) a bc 0 1000 2000 3000 4000 5000 6000 Depth (cm) Age (calibrated 14C yr B.P.) 160 7000 7000 180 8000 200 9000 8.2 event 8000 9000 -0.6 -0.2 0.2 0.6 1 -1.5 -1 -0.5 0 0.5 1 1.5 10 Group 1 Group 2 Group3 12 14 cold intervals 16 10750 BP warm intervals Fig. 8 .","(10 Group 1 Group 2 Group3,)"
126,"The high plain of Bogotfi is situated at an altitude of ca. 2550 m in the Eastern Cordillera of Colombia (latitude 4 ° 30 ' 5 ° 10 ` N, longitude 73 ° 4574 ° 25 ` W) and represents the bed of a former lake .","(Colombia, 4 ° 30 ' 5 °, 73 ° 4574 ° 25 `)"
128,Washington State Univ. .,"(Washington State,)"
129,1994 Elsevier Science Ltd. .,"(1994 Elsevier Science Ltd.,)"
130,"from - 6 ° C to 6 ° C, July averages range from 13 ° C to 27 ° C (National Oceanic and Atmospheric Administration, 1985) .","(6 °, 13 ° C, 27 ° C)"
133,23 ° Th/234U and 14C ages obtained by mass spectrometry on corals from Barbados (West Indies -)Isabela (Galapagos) and Mururoa (French Polynesia) .,"(23 ° Th/234U, Galapagos)"
134,"ELSEVIER Palaeogeography, Palaeoclimatology, Palaeoecology 139 (1998) 251 267 Late Quaternary palaeoecology and palaeoclimatology from pollen records of the savannas of the Llanos Orientales in Colombia Hermann BehlingHenry Hooghiemstra The NetherlandsCentrefor Geo-Ecological Research, ICG, University of Amsterdam, Hugo de VriesLaboratory, Department of Palynology and Palaeo/Actuo-Ecology, Kruislaan 318, 1098 SM Amsterdam, The Netherlands Received 22 July 1997 ; received in revised form 20 October 1997 ; accepted 20 October 1997 Abstract Pollen analysis of sediment cores from Laguna Angel (4 ° 28 ` N, 70 ~ 34 ` W, 200 m elevation) and Laguna Sardinas (4 ° 58 ` N, 69 ° 28 ` W, 80 m a.s. 1)-","(Palaeogeography, Colombia, 69 ° 28 `)"
135,"The studied lakes, Laguna Angel (4 ° 28 ` N, 70 ° 34Wq, 200m a.s. 1)-","(4 ° 28 ` N, 70 ° 34Wq,)"
136,"and Laguna Sardinas (4 ° 58 ` N, 69 ° 28 ~ W, 80 m a.s. 1)-","(69 ° 28 ~ W,)"
137,"Gran Sabana, Venezuela About 15 Holocene pollen sequences were studied by Rull (1991, 1992) in the Gran Sabana of Venezuela between 4 ' 30610 'N and 60 ° 3063 ° 30 ` W .","(Venezuela, 60 ° 3063 ° 30 `)"
138,"The pollen record from Lake Divina Pastora (4 ° 42 ` N, 61 ° 04 ` W, 800 m a.s. 1)-","(61 ° 04 `,)"
139,"The record from Lake Santa Teresa (4 43 ` N, 61 ° 05 ` W, 880 m a.s. 1)-","(61 ° 05,)"
140,"The diagram from the valley Uru6 (5 ' 02 ` N, 61 ° 05 ` W, 940m a.s. 1)-","(61 ° 05 `,)"
141,"38, 71-90 .","(38, 71-,)"
142,"The mean annual temperature is 4 ° C, and the potential evaporation is about 2000 mm .","(4 ° C,)"
143,"(A) Summer insolation at 40 ° N latitude (Berger and Loutre, 1991 -)(- B) pollen PCA 1 scores at Hurleg Lake(- C) total tree pollen percentage at Qinghai Lake (Shen et al2006 -)(- D) δ18O from ostracode shells at Qinghai Lake (Lister et al1991) .","(40 °, Loutre, Qinghai Lake, Qinghai Lake)"
144,"BSi was extracted from ca 60 mg of freeze-dried sediment with 10 % Na2CO3, dyed with molybdate blue, and measured with a spectrophotometer previously calibrated on a silica standard solution (modiﬁed from Mortlock and Froelich  1989) .","(10 % Na2CO3, Froelich)"
145,"Since there is an absence of periglacial structures (but see Van Geel et al1989) mean annual temperatures may not have dropped below - I ° C. Given that the range for mean July temperatures was between 14 and 16 ° C, mean January temperatures may well have declined but, would not have been lower than -15 ° C .","(16 ° C,)"
146,"Mean July temperatures fell from between 15 and 18 ° C to between 10 and II ° C, while mean January temperature ranges did not change significantly (from between -16 to + 6 ° C to between -15 and -7 ° C) .","(18 ° C,)"
147,A continuous paleoclimatic history for the past 14 000 years is presented based on palynological records from south of latitude 50 ° S in South America .,"(50 ° S, South America)"
148,Low moisture levels prior to 12 500 yr B.P. between latitudes 45 ° and 55 ° S suggest that the westerly stormtracks responsible for precipitation patterns in southern South America may have been located year-round closer to the equator than today .,"(55 ° S, South America)"
149,"The precipitation increase at 12 500 yr B.P. that extended only as far south as 50 ° S, indicates that the stormtracks had shifted poleward, but did not reach Tierra del Fuego .","(50 ° S, indicates,)"
150,"55 cated most of his life to unravelling the late Quaternary history of the area south of 40 ° S latitude, which he referred to asFuegoPatagonia","(40 ° S,)"
151,"Williams (54 56 'S, 67 38 ` W, 10 m elevation ; Heusser, 1989 -)and Lago Yehuin (54 ° 20 'S, 67 ° 45 'S, 100m elevation ; Markgraf, 1983 -)both bog sections in deciduous Nothofagus pumilio tbrest .","(54 ° 20 'S, 67 ° 45 'S, Markgraf, Nothofagus)"
152,"This spatial difference may have been the reason why Hollin and Schilling (1981) used Caldenius(- 1932 -)Gotiglacialmoraines south of 50 ° S, and theFiniglacialmoraines north of 50 ° S as the equivalent for the last full-glacial ice extent .","(50 ° S, and,)"
153,"During the period of expansion of forests between latitudes of 40 ° and 50 ° S at about 12 500 yr B.Pno migrational lags have been documented, suggesting that the different tree species remained locally present throughout the full-glacial .","(50 ° S,)"
154,"North of latitude 50 ° S (Puerto Eden -)in the region of Magellanic rainforest and moorlands, forest began to expand after 12 500 yr B.P. replacing the heath .","(50 ° S, Puerto Eden, Magellanic)"
155,"The forest was initially composed of Nothofagus antarctica, and was replaced soon afterwards 62 (a) I _ Harberton (54 ° 53 ' S, 67 ° 10 ' W) V. MARKGRAF Paso Garibaldi -LCB- 54 ° 43 ' S, 67 050 ' W)) 10 I 20 40 60 80 O 20 40 0 % Pollen Markgraf 1989 b 20 40 60 0 .5 1 0 Charcoal (50-150p x 103cm3) Rabassa et al. 1989 20 40 60 80 O 30 O 20 40 60 80 % Pollen Markgraf 1990 (b) Puerto Eden (49 o 08 ' S, 74 o 25 ` W) ooO1 .","(Nothofagus antarctica, Harberton, 67 ° 10 ' W, 43 ' S, 67 050 ' W, Puerto Eden)"
157,"North of latitude 50 ° S, where forests developed at that time, the temperature increase apparently was compensated by an equivalent precipitation increase .","(50 ° S,,)"
158,"Farther north, at latitude 50 ° and 51 ° S, on the other hand, the early Holocene moisture increase reached maximum levels, indicated by moorland expansion in the Magellanic rainforest region (Puerto Eden -)high levels of the rainforest species Nothofagus betuloides (Cueva Milod6n -)and a decrease in fire frequency (Torres del Paine) .","(51 ° S,, Puerto Eden, Nothofagus)"
159,"The high lake levels in Lago Cardiel, which culminate between 9800 and 7700 yr B.P. would seem to reflect the same regional pattern of the region north of latitude 50 ° S, although differences in response to changes in precipitation between vegetation and lake levels should be expected .","(50 ° S, although,)"
160,Records that cover the full-glacial interval only exist from the mid-latitudes between 35 ° and 43 ° S .,"(43 ° S,)"
161,"The combination of these paleoenvironmental indicators suggests that temperatures must have been lower by about 4 ° C (Villagran, 1990 ; Hoganson and Ashworth, 1992 -)that the screaming fifties during full-glacial times were located at the latitude of Chilo(- 43 ° S -)and that north of Chilo6 climate was substantially drier than today, with moisture levels comparable to the modern steppe/forest border east of the Andes (Markgraf, 1989c) .","(43 ° S, Chilo6, Andes, Markgraf)"
162,"Stormtracks must have been focused year-round at latitude 43 ° S, i.e. substantially equatorward from their modern summer position, but substantially poleward from their modern winter position (Markgraf, 1989c) .","(43 ° S, i.e., Markgraf)"
163,"The location of the stormtracks was focused on latitude 45 ° S, i.e. poleward from modern winter positions .","(45 ° S, i.e.,)"
164,"South of latitude 50 ° S, however, environments continued dry, although a shift from heathlands to Gramineae steppe suggests a reduction in evaporation, probably because wind intensity had decreased .","(50 ° S, however,)"
165,"The relatively short-term but pronounced return to drier and warmer conditions between 5500 and 4500 yr B.P. was primarily a high latitude phenomenon, polewards of 49 ° S .","(49 ° S,)"
166,"SITE DESCRIPTION The Ohnuma moor is situated at an elevation of 610 m on the southeast slope of Mt. Torokawa (1039 m, coordinates 35 ° 25 ` N, 134 ° 34 ` E) in the northeastern part of the Chugoku mountains, Hyogo prefecture (Fig.l) .","(35 ° 25 `, 134 ° 34 `)"
168,30 ° N June (Wint)-,"(30 °,)"
169,30 ° S Latitude gradient insolation (W m-2 d-1) 150 15 12 9 6 3 0 Age (ka BP) 120 B 100 Summer gradient 60 ° S - 0 ° Summer gradient 30 ° S - 0 ° 80 -160 -180 Winter gradient 30 ° S - 0200 -360 -380 Winter gradient 60 ° S - 0400 Fig. 2 .,"(30 ° S, 60 ° S - 0, 30 ° S - 0 ° 80, 30 ° S - 0200)"
173,"ARTICLE IN PRESS 1630 T.H. Donders et alQuaternary Science Reviews 26 (2007) 16211637 Age (cal ka BP) 0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0 6.5 7.0 7.5 8.0 8.5 9.0 9.5 10.0 10.5 11.0 11.5 12.0 Lake Euramoo A BPCA 1 (63)- PCA 2 (8)- V Lake Allom C PCA 1, 60 % DPCA 2, 10 % V IV Bega Swamp E FPCA 1, 36 % PCA 2, 13 % Charcoal (n/yr/cm2) G Euramoo -(125) 0 1000 2000 3000 VI IV III V IV Lake Allom Euramoo II Hiatus III III b I II -0.5 0 Rainforest taxa 0.5 -0.2 0 0.2 0.4 0.6 -2 -1 0 1 Sub-montane / secondary rainforest Casuarinaceae 2 -1 -0.4 0 0.4 Araucaria / Casuarinaceae 1 -1 0 1 Eucalyptus / Casuarina forest III a II 2 -1 -0.4 0 0.4 Dry taxa 1 0 100 200 300 400 Allom -(120) Drier, Casuarina / Poaceae Lower montane closed rainforest Araucarian rainforest Myrtaceae / Heathland Heath / herb Open vegetation Wet taxa Fig. 4 .","(13 % Charcoal,)"
174,"35 ° 15 ′ 5135 ° 15 ′ 55 ″ N, long .","(5135 ° 15 ′ 55 ″ N,)"
175,"4 R.K. Booth et alQuaternary Research 61 (2004) 113 graphically constrained cluster analysis (Grimm, 1987 -)was performed on the arboreal pollen data to aid in zonation .","(alQuaternary Research 61 (2004,)"
176,"18, 483 ^ 493 .","(18, 483 ^,)"
177,"13, 13 ^ 35 .","(13, 13 ^,)"
178,"4, 5 ^ 12 .","(4, 5 ^,)"
179,0.5 ' 0.6 ` 0.7 ' 0.6 .,"(0.5 ' 0.6 ` 0.7 ',)"
180,"The mean annual air temperature is 5 ° С10 ° С at 1000 m a.s.l. with mean January temperatures below 0 ° С, while the mean July temperature depends on the altitude .","(5 ° С10 ° С,)"
181,"Study site Mire Kupena is a former lake (41 ° 59 ′ 07.5 ″ N, 24 ° 19 ′ 05.1 ″ E ; 1356 m a.s.l.) found on the territory of the Biosphere Reserve Kupena in the Western Rhodopes Mountains (Fig. 1) .","(24 ° 19 ′ 05.1,)"
182,"Kupena-3 : pollen stratigraphy A brief summary of the LPAZ delimited is outlined as follows (Fig. 3 -)LPAZ Kup3-1, 200181 cm (ArtemisiaChenopodiaceaePinus diploxylon-type) Non-arboreal pollen dominates with 6080 % attributed mainly to Artemisia (up to 40)Chenopodiacae (up to 15)- and Poaceae (510)- .","(6080 %, Artemisia)"
183,"According to CONANP (1999 -)climate in the zone is dry, with a mean annual temperature of 26 ° C and 500 mm of mean annual precipitation .","(26 ° C,)"
184,"The biosphere reserve comprises gentle slopes and uniform plains with 9 vegetation types : 1) medium-stature semievergreen tropical forest, 2) medium-stature sub-deciduous tropical forest, 3) low-stature deciduous tropical forest, 4) low-stature spiny tropical forest, 5) low-stature ﬂooded tropical forest, 6) fringe mangrove, 7) dwarf mangrove, 8) coastal dune scrub, and 9) ﬂooded grassland 92 ° 0 ' 0W 90 ° 0 ' 0W 88 ° 0 ' 0W 86 ° 0 ' 0W 84 ° 0 ' 0W 24 ° 0 ' 0N Core 22 ° 0 ' 0N 20 ° 0 ' 0N 1000 1200 1400 600 400 800 400 Gulf of Mexico 600 600 6 800 1000 Yucatan 1200 5 2 800 1 1000 1200 1400 Campeche Quintana Roo 7 4 Caribbean Sea 1200 3 1 .","(88 ° 0 ' 0W, 86 ° 0 ' 0W, 84 ° 0 ', 20 ° 0 ', Gulf, Mexico)"
188,- Lake Tzib Ría Lagartos 0 75 150 Kilometers 92 ° 0 ' 0W 90 ° 0 ' 0W 88 ° 0 ' 0W 86 ° 0 ' 0W Fig. 1 .,"(92 ° 0 ' 0W, 90 ° 0 ' 0W, 88 ° 0 ' 0W, 86 ° 0 ' 0W)"
192,"84 ° 0 ' 0W 18 ° 0 ' 0N A.A. Aragón-Moreno et alReview of Palaeobotany and Palynology 178 (2012) 3542 37 (CONANP, 1999) .","(84 ° 0 ' 0W, 18 ° 0 ', Palaeobotany)"
194,The dry weight and water content of the samples were measpred after drying for 12 hours at 105 ° C .,"(105 ° C,)"
195,0(- 0 ' SO ' 30 ' 40 ' 5 0 ' 6 0 yoors Icm3 Fig. 9 .,"(30 ' 40 ' 5,)"
196,"40 ° S, long .","(40 ° S,,)"
197,"Harberton The high-resolution pollen record from a high - 66 Vera Markgraf CAUNAHUE (40 ° S, 72O W) BOREAS 20 (1991) 11 1 4710260 (A-5491) 56402100 (A-4889) CI ti 1 9250t140 (A-5490) 94002100 (A-5489) 10 430 t160 (A-4888) 10.140 +160 (A-4887) 11 140 * 170 (A-4886) 12.740295 (AA-4795) 13 980 * 200 (Bats-2 16 79) 0 35 7 0 0 4 8 0 5 0 2 0 1 5 0 5 0 2 0 0 2 0 0 2 0 1 5 0 5 0 2 percent Fig. 2 .","(40 ° S,,)"
198,"54 ° 53 'S, long .","(54 ° 53 'S,)"
199,"67 ° 10 ` W) (Fig. 1) shows repeated high frequency and high amplitude paleoenvironmental changes throughout the steppe dominated lateglacial portion of the record (Markgraf, 1991) .","(67 ° 10 `, Markgraf)"
200,"1 Department of Geosciences, University of Arizona, Tucson, AZ 85721, USA .","(1 Department of Geosciences,, Arizona, Tucson)"
201,"Another ant, Leptothorux muscorum, is the northernmost ant species in North America, having been found at 69 ' 32 ’N on Richards Island, Northwest Territories (Francoeur, 1983) .","(North America, 69 ' 32, Richards Island, Northwest Territories)"
202,"`` Geologic Map of the Montrose 30 ' x 60 ' Quadrangle, South - western Colorado","(60 ' Quadrangle, Colorado)"
203,"about 10 370 145 B.Palthough low numbers Although oak pollen (cf. Quercus gari.yrrizrr) is of cedar pollen suggest that these trees were rare present in some samples from Marion and Sur - until about 6600 B.P. Above the ash layer, cedar prise Lakes, this species does not occur in the pollen reaches maximum percentages of 437c, in U.B.C. Research Forest today .","(U.B.C. Research Forest,)"
204,"DISTRIBUTIOKNn : own only from the type locality, Lava Camp Mine (65O53 .04 ' N, 163 ' 7.9 ' Description W, Fig .","(163 ' 7.9 ' Description,)"
205,"I -)locality 2-73 (7950 ' N, 99 ' 15 ' W -)Beaufort Formation sample JVM 5b .","(99 ' 15 ' W,)"
206,"18, 1992 Ten Percent Bntewal B. George Ten Percent Interval C. Acid Ten Percent lntewal FIG. 2 .","(Ten Percent Bntewal,)"
207,1920 1910 1900 1890 1880 1870 Ten Percsnt lntewnl 1918 t ann IIaau 1 1860 I850 1540 I bCb I Ill Ten Percent lntssval C. Acid B C8i I 1910 2 1900 1898 1880 1870 1860 f e n Percent interval FIG. 3 .,"(Ten Percent lntssval C. Acid,)"
208,number Age (BP) Depth of lower Depth of (cm -)(- mg) YD upper YD boundary * boundary * Splan Pond 45 ° 15 ' 20N  67 ° 19 ' 50W 106 m a.s.l4 ha 10.6 m max .,"(45 ° 15 ', 67 ° 19 ' 50W)"
210,"water depth Killarney Lake 46 ° 00 ' 50N, 66 ° 37 ' 40W 75 m a.s.l10.5 ha 5.3 m max .","(66 ° 37 ' 40W,)"
211,"water depth Stillman Pond 45 ° 30 ' 50N, 62 ° 31 ' 05W 170 m a.s.l2 ha 3.8 m max .","(62 ° 31 ' 05W,)"
212,"water depth Lac ~ Magie 44 ° 15 ' 50N, 66 ° 04 ' 45W 60 m a.s.l0.6 ha 2.2 m max, water depth 361.5-362 .5 369.5-370 .5 380.5-381 .5 491.5-492 .5 503.5 562.5 575 690.5-691 .5 806812 841-842 856 888 -892 Little Lake 44 ° 40 ' 05N, 63 ° 56 ' 20W 40 m a.s.l0.5 ha 5 m max .","(66 ° 04 ' 45W, 63 ° 56 ' 20W)"
214,"water depth Chase Pond 45 ° 39 ' 05N, 60040 ' 30W 15 m a.s.l0.4 ha 4 m max .","(45 ° 39 ' 05N,)"
215,"Review of Palaeobotany and Palynology 111 (2000) 295308 www.elsevier.nl/locate/revpalbo Late Holocene history of savanna gallery forest from Carimagua area, Colombia J.C. Berrio a, H. Hooghiemstra aH. Behling a  1, K. van der Borg b a University of Amsterdam, Hugo de Vries-Laboratory 2, Dept. of Palynology and Paleo/Actuo-ecology, Kruislaan 318 SM Amsterdam, The Netherlands b R.J. van der Graaﬀ Laboratory, Utrecht University, Princetonplein 5, 3508 TA Utrecht, The Netherlands Received 27 July 1999 ; accepted for publication 6 April 2000 Abstract The pollen record of a 65 cm long core Laguna CarimaguaBosque (4 ° 04 ∞ N, 70 ° 13 ∞ W) shows the late Holocene environmental history from a lake located within the gallery forest of the savannas of the Llanos Orientales of Colombia .","(Palaeobotany, Carimagua, Colombia, The Netherlands, Utrecht, The Netherlands, Laguna CarimaguaBosque, 4 ° 04, 70 ° 13 ∞)"
217,"Environmental setting Laguna CarimaguaBosque (4 ° 04 ∞ N, 70 ° 13 ∞ W, Province of Meta ; 180 m altitude) lies in the Llanos Orientales and is part of a series of studied sites along a 500 km long west-to-east transect (Fig. 1) .","(4 ° 04 ∞ N, 70 °,)"
218,"The mean annual temperature in the study area is 2627 ° C, with less than 3 ° C variation between monthly means .","(2627 ° C,)"
